Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,4460,118.05,,,-0.4091,34.6469,-0.729,1027.8562,7.81,95.8,96.51,0.085
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,3999,121.2888889,,,-0.4137,34.6488,-0.6851,1027.8558,7.74,95,96.58,0.071
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,3000,118.973494,,,-0.328,34.6563,-0.5081,1027.854,7.48,92,96.61,0.071
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,2000,119.5116279,,,-0.171,34.6643,-0.276,1027.8493,7.13,88,96.62,0.069
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,1000,135.9642857,,,0.1478,34.6772,0.1017,1027.8402,6.53,81.3,96.58,0.085
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,500,169.9156627,,,0.4036,34.686,0.3817,1027.8315,6.04,75.7,96.43,0.069
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,300,174.6,,,0.4067,34.6781,0.3941,1027.8245,6,75.2,96.31,0.07
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,200,174.6635294,,,0.2897,34.6454,0.2817,1027.8045,6.45,80.6,96.08,0.074
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,150,150.5195122,,,-0.5504,34.5221,-0.5552,1027.7475,7.64,93.3,96.13,0.069
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,100,28.31294118,,,-0.879,34.0466,-0.8818,1027.3761,11,132.7,95.5,0.153
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,90,43.00243902,,,-0.8795,34.0462,-0.882,1027.3759,11.01,132.7,95.44,0.153
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,80,48.55764706,,,-0.8797,34.0459,-0.8819,1027.3756,11,132.7,95.49,0.152
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,70,67.11428571,,,-0.8849,34.0448,-0.8868,1027.375,11.01,132.8,95.48,0.148
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,60,38.79759036,,,-0.8891,34.0441,-0.8907,1027.3745,10.99,132.6,95.5,0.143
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,50,22.32413793,,,-0.8912,34.044,-0.8926,1027.3745,11.01,132.7,95.48,0.151
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,40,21.66835443,,,-0.8918,34.044,-0.8929,1027.3745,11.03,133,95.5,0.15
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,30,22.28275862,,,-0.8905,34.0442,-0.8913,1027.3746,11.01,132.8,95.46,0.147
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,20,21.91111111,,,-0.8936,34.044,-0.8942,1027.3745,10.98,132.4,95.49,0.147
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,10,20.91428571,,,-0.891,34.0444,-0.8913,1027.3748,11.02,132.9,95.48,0.161
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,8,14.13658537,,,-0.891,34.0444,-0.8913,1027.3748,11.02,132.9,95.48,0.161
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,5335,118.5069767,,,-0.3721,34.6466,-0.7931,1027.8586,7.76,95.2,96.44,0.093
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,5310,122.4,,,-0.3749,34.6466,-0.7936,1027.8587,7.8,95.8,96.44,0.099
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,5290,122.6853659,,,-0.3774,34.6467,-0.7935,1027.8588,7.81,95.9,96.44,0.099
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,5270,122.7417722,,,-0.38,34.6467,-0.7936,1027.8587,7.79,95.7,96.45,0.099
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,5250,122.8987952,,,-0.3825,34.6468,-0.7937,1027.8588,7.78,95.5,96.46,0.097
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,3987,124.7357143,,,-0.414,34.6518,-0.6843,1027.8582,7.74,94.9,96.58,0.091
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,3000,119.8626506,,,-0.3545,34.6566,-0.534,1027.8554,7.49,92,96.61,0.097
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,1998,117.7948052,,,-0.1871,34.6637,-0.2917,1027.8496,7.16,88.3,96.61,0.097
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,1000,137.1033708,,,0.151,34.6776,0.1049,1027.8404,6.52,81.1,96.53,0.088
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,500,157.1111111,,,0.3871,34.6864,0.3653,1027.8328,6.08,76.1,96.53,0.09
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,300,166.1294118,,,0.4865,34.6879,0.4737,1027.8277,5.95,74.8,96.48,0.092
Antarctica 2013,484-1,B,2012-06-16 21:44,0.005,-60.00666667,5364.5,199,168.0222222,,,0.5506,34.6843,0.5422,1027.8207,5.96,75,96.39,0.093
