Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Pres [dbar],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,1000,106.1560976,,,1019,2.6435,34.4436,2.5771,1027.4784,5.6,74.2,96.38,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,900,106.2627907,,,910,2.8518,34.396,2.7919,1027.4216,5.83,77.6,96.38,0.095
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,800,102.0512195,,,809,2.9072,34.3322,2.8543,1027.3651,6.2,82.7,96.38,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,725,91.92857143,,,733,2.794,34.2474,2.7473,1027.3068,7.02,93.4,96.35,0.098
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,700,90.39512195,,,708,2.7913,34.2305,2.7464,1027.2934,6.97,92.7,96.35,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,600,75.53571429,,,607,3.082,34.1918,3.0426,1027.236,7.55,101,96.33,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,500,74.65609756,,,505,3.498,34.1824,3.464,1027.1891,7.71,104.3,96.35,0.094
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,470,55.99285714,,,475,3.2451,34.1198,3.2142,1027.1628,8.38,112.6,96.3,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,450,,,,455,3.4086,34.1184,3.3785,1027.1462,8.41,113.4,96.3,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,400,51,,,404,3.652,34.1159,3.6246,1027.1205,8.43,114.4,96.3,0.095
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,350,47.07529412,,,354,3.9921,34.1248,3.9673,1027.0933,8.45,115.6,96.3,0.097
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,300,27.98571429,,,303,3.9709,34.0822,3.9499,1027.0611,9.15,125.2,96.14,0.096
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,250,20.29285714,,,253,4.1009,34.0883,4.0832,1027.0523,9.21,126.3,96.09,0.13
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,200,21.78409091,,,202,4.1568,34.0864,4.1426,1027.0447,9.29,127.7,95.84,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,150,19.4625,,,152,4.1545,34.085,4.1439,1027.0434,9.32,128,95.74,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,120,21.49772727,,,122,4.1818,34.0864,4.1733,1027.0415,9.34,128.4,95.69,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,106,18.17349398,,,107,4.1965,34.0871,4.189,1027.0404,9.37,128.8,95.66,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,80,15.49285714,,,81,4.2177,34.0891,4.2121,1027.0395,9.33,128.4,95.64,0.158
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,60,15.45,,,61,4.2167,34.089,4.2125,1027.0394,9.35,128.7,95.64,0.172
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,40,17.13333333,,,40,4.2178,34.0893,4.215,1027.0393,9.38,129,95.62,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,40,19.13571429,,,40,4.2178,34.0893,4.215,1027.0393,9.38,129,95.62,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,20,16.07142857,,,21,4.2151,34.0893,4.2136,1027.0395,9.39,129.2,95.61,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,10,11.10681818,,,11,4.2161,34.0893,4.2153,1027.0394,9.37,128.9,95.61,0.16
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,10,11.90930233,,,11,4.2161,34.0893,4.2153,1027.0394,9.37,128.9,95.61,0.16
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,1000,105.5571429,,,1012,2.605,34.4408,2.5394,1027.4794,5.67,75.1,96.32,0.077
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,900,102.8785714,,,900,2.7555,34.3846,2.697,1027.4208,5.94,79,96.32,0.097
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,800,101.1767442,,,809,2.7878,34.3224,2.7357,1027.3677,6.38,84.8,96.32,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,700,86.4225,,,708,2.6841,34.2354,2.6398,1027.3065,7.1,94.1,96.29,0.069
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,600,74.45647059,,,607,2.7031,34.1641,2.6656,1027.2473,7.84,103.9,96.27,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,520,65.03023256,,,526,2.8376,34.1045,2.8049,1027.1876,8.44,112.3,96.22,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,500,65.06896552,,,506,3.4717,34.1731,3.4377,1027.1842,7.83,105.9,96.29,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,450,66.51428571,,,455,3.5533,34.1454,3.5226,1027.1539,8.12,109.9,96.27,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,400,52.95348837,,,404,3.6647,34.1116,3.6373,1027.1158,8.48,115.1,96.25,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,350,31.15714286,,,354,3.3926,34.0426,3.3695,1027.0866,9.29,125.2,96.04,0.116
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,300,18.63658537,,,303,3.5631,34.046,3.5431,1027.0727,9.35,126.5,96.01,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,250,17.89772727,,,253,3.9938,34.0942,3.9763,1027.068,8.91,121.9,96.13,0.099
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,200,33.8625,,,202,4.3118,34.1067,4.2974,1027.0445,8.91,122.9,96.13,0.118
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,180,18.7902439,,,182,4.1734,34.0739,4.1606,1027.0329,9.3,127.9,95.66,0.16
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,150,18.73255814,,,152,4.4004,34.0753,4.3895,1027.0097,9.39,129.7,95.33,0.221
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,120,12.94285714,,,122,4.4271,34.0744,4.4184,1027.0059,9.44,130.5,95.23,0.191
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,100,11.79,,,101,4.4281,34.0742,4.4209,1027.0055,9.45,130.6,95.21,0.211
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,60,10.1195122,,,61,4.4241,34.0735,4.4198,1027.0051,9.47,130.9,95.11,0.209
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,40,11.18863636,,,41,4.4235,34.0736,4.4206,1027.005,9.45,130.6,95.07,0.191
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,20,12.3,,,,4.4219,34.0737,4.4205,1027.0051,9.42,130.3,95.06,0.214
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,10,9.043902439,,,,4.4226,34.0737,4.4219,1027.005,9.43,130.4,95.08,0.228
Antarctica 2013,521-1,B,2013-08-17 20:46,-50.24138889,-52.34027778,3031.8,5,8.539534884,,,,4.4226,34.0737,4.4219,1027.005,9.43,130.4,95.08,0.228
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,1000,101.2725,,,1012,2.0132,34.6756,1.952,1027.7156,5.35,69.9,96.25,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,900,103.0390244,,,910,2.1151,34.6553,2.0601,1027.6907,5.3,69.4,96.25,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,900,104.4,,,910,2.1151,34.6553,2.0601,1027.6907,5.3,69.4,96.25,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,800,100.7795455,,,809,2.1689,34.6246,2.1203,1027.6613,5.28,69.2,96.25,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,700,105.4071429,,,708,2.2394,34.5802,2.1971,1027.6195,5.29,69.5,96.22,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,600,112.2365854,,,607,2.3078,34.5259,2.2718,1027.5699,5.39,70.8,96.2,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,500,107.6931818,,,505,2.3507,34.4653,2.3211,1027.5173,5.59,73.6,96.12,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,400,108.8790698,,,404,2.3209,34.3842,2.2977,1027.4544,6.06,79.7,96.16,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,350,119.344186,,,354,2.2847,34.3398,2.2646,1027.4216,6.37,83.7,96.19,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,300,96.68571429,,,303,2.1799,34.2765,2.1631,1027.3791,6.88,90,96.18,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,250,88.60909091,,,253,1.9948,34.2009,1.9813,1027.3329,7.54,98.2,96.17,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,200,72.81,,,202,1.7241,34.1087,1.7139,1027.2792,8.51,110,96.12,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,180,61.17906977,,,182,1.8297,34.093,1.8204,1027.2587,8.63,111.8,96.1,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,160,54.0627907,,,162,1.673,34.0335,1.665,1027.2225,9.26,119.5,95.99,0.099
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,150,44.23764706,,,152,1.5061,33.944,1.4988,1027.1627,9.6,123.2,95.79,0.13
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,120,21.375,,,122,1.3589,33.8377,1.3533,1027.0875,10.21,130.5,94.93,0.191
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,100,13.18604651,,,101,1.3724,33.8367,1.3677,1027.0857,10.24,130.9,94.75,0.221
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,80,10.56976744,,,81,1.3712,33.8368,1.3675,1027.0858,10.21,130.5,94.65,0.19
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,60,12.10714286,,,61,1.3721,33.837,1.3693,1027.0858,10.23,130.8,94.75,0.201
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,40,12.00705882,,,41,1.3765,33.8369,1.3746,1027.0854,10.27,131.2,94.67,0.223
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,20,15.34285714,,,21,1.3795,33.8369,1.3785,1027.0851,10.25,131.1,94.7,0.173
Antarctica 2013,526-1,B,2013-08-18 15:16,-46.50277778,-52.30277778,3268.5,3,11.74390244,,,9,1.381,33.8371,1.3806,1027.0851,10.23,130.8,94.69,0.16
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,1000,99.42352941,,,1012,2.0568,34.6726,1.9952,1027.7098,5.32,69.6,96.41,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,900,102.6,,,910,2.133,34.6491,2.0779,1027.6843,5.25,68.9,96.4,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,800,104.7857143,,,809,2.2042,34.6204,2.1554,1027.6551,5.24,68.7,96.4,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,700,105.0069767,,,708,2.2724,34.5904,2.2299,1027.625,5.23,68.8,96.4,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,600,108.9837209,,,607,2.3001,34.5424,2.2641,1027.5837,5.34,70.2,96.35,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,500,101.146988,,,505,2.348,34.476,2.3184,1027.5261,5.55,73,96.36,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,400,105.6857143,,,404,2.2536,34.3898,2.2306,1027.4644,6.05,79.4,96.29,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,350,161.6860465,,,354,2.1911,34.3537,2.1713,1027.4402,6.28,82.3,96.3,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,300,98.05714286,,,303,2.2097,34.306,2.1929,1027.4003,6.58,86.2,96.32,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,250,90.57857143,,,253,1.915,34.2157,1.9017,1027.3509,7.42,96.4,96.31,0.069
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,200,70.9902439,,,202,1.5276,34.1112,1.5177,1027.2955,8.37,107.6,96.19,0.058
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,150,48.83571429,,,152,1.3545,33.9595,1.3474,1027.1857,9.6,122.8,95.96,0.088
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,120,27.34772727,,,122,1.3054,33.84,1.2998,1027.093,10.17,129.8,95.47,0.138
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,100,15.91463415,,,101,1.3491,33.8357,1.3445,1027.0865,10.24,130.8,95.21,0.15
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,80,14.42093023,,,81,1.2829,33.8228,1.2792,1027.0806,10.27,131,94.85,0.191
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,60,11.4804878,,,61,1.2761,33.8199,1.2734,1027.0786,10.32,131.5,94.73,0.191
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,40,13.54390244,,,41,1.2746,33.8196,1.2728,1027.0784,10.34,131.8,94.7,0.191
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,40,9.636585366,,,41,1.2746,33.8196,1.2728,1027.0784,10.34,131.8,94.7,0.191
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,20,8.034146341,,,21,1.2746,33.8201,1.2737,1027.0787,10.33,131.7,94.66,0.187
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,10,8.626829268,,,10,1.2715,33.8209,1.2711,1027.0796,10.28,131.1,94.65,0.191
Antarctica 2013,527-1,B,2013-08-22 10:38,-45.75472222,-52.2975,3468,6,5.4,,,6,1.2797,33.8214,1.2794,1027.0794,10.3,131.3,94.66,0.196
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,1000,99.3686747,,,1012,2.2395,34.6338,2.1765,1027.6641,5.19,68.2,96.41,0.071
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,900,108.627907,,,910,2.3075,34.6062,2.2512,1027.6359,5.19,68.3,96.38,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,800,106.2,,,809,2.3843,34.5759,2.3344,1027.6047,5.21,68.6,96.38,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,700,108.1536585,,,708,2.4053,34.536,2.3622,1027.5705,5.29,69.7,96.38,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,600,103.2488372,,,607,2.5003,34.4892,2.4634,1027.5245,5.41,71.5,96.38,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,500,101.4906977,,,505,2.5846,34.4261,2.554,1027.4663,5.73,75.8,96.34,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,400,103.275,,,404,2.579,34.3373,2.555,1027.3953,6.25,82.6,96.34,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,350,93.18987342,,,354,2.2898,34.2672,2.2698,1027.363,6.86,90,96.3,0.072
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,300,89.91627907,,,303,2.1671,34.2102,2.1504,1027.327,7.47,97.7,96.26,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,250,66.16046512,,,253,1.8027,34.1227,1.7897,1027.2848,8.19,106.1,96.23,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,200,58.80681818,,,202,1.9502,34.0972,1.9396,1027.253,8.36,108.6,96.2,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,160,51.47560976,,,162,1.9552,34.0496,1.9468,1027.2143,8.78,114.1,96.12,0.069
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,150,47.93023256,,,152,2.2498,34.0581,2.2416,1027.198,8.81,115.4,96.08,0.07
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,120,13.185,,,122,2.4211,33.8771,2.4144,1027.039,9.9,130,95.33,0.145
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,100,11.19310345,,,101,2.4845,33.8631,2.4789,1027.0225,10,131.6,94.74,0.191
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,80,8.692682927,,,81,2.4566,33.8553,2.4521,1027.0185,10.02,131.8,94.48,0.207
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,60,9.578571429,,,61,2.4562,33.8554,2.4529,1027.0185,10.06,132.3,94.49,0.237
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,40,10.51034483,,,41,2.4543,33.8554,2.4521,1027.0185,10.04,132,94.45,0.312
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,20,3.202325581,,,20,2.4607,33.8562,2.4596,1027.0185,10.05,132.1,94.36,0.191
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,10,2.941463415,,,10,2.4627,33.8566,2.4622,1027.0187,10.05,132.1,94.37,0.16
Antarctica 2013,528-1,B,2013-08-22 16:26,-45.01055556,-52.29111111,3310.5,5,3.007317073,,,5,2.4649,33.8563,2.4646,1027.0182,10.04,132.1,94.36,0.16
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,1000,96.3,,,1012,1.8852,34.692,1.825,1027.7386,5.45,71,96.35,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,900,102.9886364,,,910,1.9607,34.6789,1.9068,1027.7217,5.4,70.5,96.33,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,800,99.69545455,,,809,2.0419,34.6602,1.9941,1027.6999,5.35,70,96.27,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,700,155.61,,,708,2.1323,34.6319,2.0906,1027.6695,5.28,69.2,96.28,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,600,108.7977273,,,607,2.1873,34.5978,2.1518,1027.6373,5.28,69.3,96.25,0.097
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,500,104.7438202,,,505,2.2913,34.5599,2.2618,1027.598,5.3,69.7,96.3,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,400,110.9357143,,,404,2.282,34.5018,2.2588,1027.5517,5.5,72.3,96.23,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,350,105.1875,,,354,2.2584,34.4612,2.2383,1027.5208,5.72,75.1,96.19,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,300,131.6195122,,,303,2.2017,34.3956,2.1848,1027.4727,6.03,79,96.18,0.098
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,250,100.6568182,,,253,2.1543,34.3417,2.1404,1027.4332,6.36,83.2,96.14,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,225,102.3488372,,,227,2.0921,34.307,2.0798,1027.4101,6.58,86,96.13,0.082
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,200,86.87142857,,,202,1.9346,34.262,1.924,1027.3863,6.97,90.6,95.88,0.097
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,150,12.26511628,,,152,1.6462,34.1418,1.6387,1027.3114,7.67,98.9,94.84,0.099
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,120,59.80714286,,,122,1.1564,33.886,1.151,1027.1398,9.76,124.2,95.21,0.13
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,100,6.563414634,,,101,1.091,33.8312,1.0866,1027.1,10.18,129.2,94.87,0.163
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,80,6.878571429,,,81,1.1119,33.8287,1.1084,1027.0966,10.21,129.7,94.66,0.183
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,60,27,,,61,1.1441,33.8275,1.1414,1027.0935,10.25,130.2,94.52,0.191
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,40,18.04285714,,,41,1.2605,33.8234,1.2587,1027.0824,10.24,130.6,94.5,0.188
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,20,11.8097561,,,21,1.2631,33.8231,1.2622,1027.0819,10.3,131.2,94.51,0.191
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,10,12.62195122,,,10,1.2616,33.8235,1.2612,1027.0823,10.29,131.2,94.49,0.174
Antarctica 2013,532-1,B,2013-08-23 14:46,-41.99944444,-52.25,3487.6,4,7.388372093,,,5,1.2647,33.8239,1.2645,1027.0824,10.24,130.5,94.47,0.169
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,1000,103.2585366,,,1012,1.7998,34.6982,1.7402,1027.7501,5.53,71.8,96.34,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,900,102.3428571,,,910,1.8888,34.6897,1.8354,1027.736,5.46,71.2,96.3,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,800,103.3534884,,,809,1.9849,34.6747,1.9375,1027.716,5.38,70.2,96.3,0.096
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,700,101.3651163,,,708,2.0547,34.6521,2.0134,1027.6919,5.32,69.7,96.3,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,600,100.86,,,607,2.1293,34.617,2.0941,1027.6573,5.28,69.1,96.29,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,520,104.3790698,,,526,2.2211,34.5896,2.1906,1027.6276,5.24,68.8,96.25,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,500,110.6142857,,,505,2.2141,34.5841,2.1849,1027.6236,5.25,68.9,96.25,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,450,109.0071429,,,455,2.1968,34.5396,2.1708,1027.5892,5.37,70.5,96.21,0.098
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,400,106.5521739,,,404,2.1865,34.5048,2.1636,1027.5619,5.5,72.1,96.08,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,350,110.1,,,354,2.174,34.45,2.1542,1027.5188,5.69,74.6,96.08,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,300,110.5463415,,,303,2.1234,34.3994,2.1067,1027.482,5.97,78.2,95.98,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,250,102.8357143,,,253,2.0685,34.3429,2.0548,1027.4409,6.37,83.2,95.78,0.097
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,225,90.24146341,,,227,1.894,34.2924,1.8821,1027.4139,6.64,86.4,95.41,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,200,86.37857143,,,202,1.8086,34.2622,1.7982,1027.396,6.84,88.7,95.12,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,150,73.5,,,152,1.6548,34.1754,1.6473,1027.3377,7.93,102.4,95.35,0.099
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,120,51.34390244,,,121,1.2038,33.84,1.1984,1027.0997,10.16,129.4,94.48,0.192
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,100,13.2525,,,101,1.1777,33.8205,1.1732,1027.0858,10.22,130,94.3,0.221
Antarctica 2013,533-1,B,2013-08-23 21:34,-41.26527778,-52.26055556,3772,80,11.89285714,,,81,1.1779,33.82,1.1743,1027.0853,10.25,130.4,94.3,0.236
